,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
1656,0.0,17.0,3.0,BCOIX,0.02134,-0.03097,0.01443,0.01374,0.05752,0.08056,0.08798
1657,-0.0007,16.0,4.0,BCOSX,0.02059,-0.03184,0.01394,0.01333,0.057,0.08056,0.08583
1661,-0.0055,6.0,2.0,BCRAX,0.01963,-0.03351,0.01078,0.00961,0.05477,0.07522,0.08503
1662,-0.0099,5.0,3.0,BCRCX,0.01675,-0.03527,0.00981,0.00771,0.05186,0.07522,0.07802
1663,0.2827,6.0,2.0,BCREX,0.12178,0.09578,0.1063,0.01289,0.11668,-0.04488,-0.0518
1664,-0.0041,7.0,2.0,BCRIX,0.0193,-0.03292,0.01141,0.01024,0.05542,0.07522,0.08772
1665,-0.0038,3.0,1.0,BCRKX,0.01941,-0.03277,0.01247,0.01037,0.05456,0.07522,0.08927
1666,0.1844,4.0,5.0,BCSAX,0.09891,0.07943,0.12688,0.0605,0.16367,-0.03086,0.06648
1667,0.1787,4.0,5.0,BCSCX,0.09787,0.07703,0.12462,0.0587,0.16045,-0.03086,0.05797
1681,0.1325,7.0,2.0,BDBKX,0.04281,0.12655,0.31345,0.04913,0.25316,0.10988,0.20003
1682,0.1303,2.0,0.0,BDBPX,0.04233,0.12552,0.31224,0.04887,0.25247,0.10988,0.1965
1691,0.0452,4.0,1.0,BDKAX,0.02178,0.01912,0.04573,0.03881,0.33765,0.04842,-0.28048
1692,0.0406,4.0,1.0,BDKCX,0.01987,0.01726,0.04388,0.03696,0.33395,0.04842,-0.28595
1693,0.0481,4.0,1.0,BDKNX,0.02242,0.01978,0.04639,0.03946,0.33836,0.04842,-0.27934
1695,0.0455,4.0,4.0,BDMAX,-0.00841,0.05689,-0.00618,-0.03456,0.06058,-0.05257,-0.00049
1696,0.0403,4.0,4.0,BDMCX,-0.01063,0.05416,-0.00833,-0.03485,0.05766,-0.05257,-0.00741
1697,0.0458,5.0,3.0,BDMIX,-0.00748,0.05614,-0.00524,-0.03337,0.06066,-0.05257,0.0029
1702,0.1283,5.0,2.0,BDSAX,0.04443,0.11588,0.30928,0.04271,0.2729,0.10988,0.19344
